Details of the Performance of the Portfolio : ,out/UnderThreshold_5.0_$_event_on_sp5002012_perfom_summary.csv
Date Range : ,2008-01-03 16:00:00 to 2009-12-28 16:00:00
Transactions : ,360
Sharpe Ratio of Fund : ,0.527865227084 
Sharpe Ratio of $SPX : ,-0.184202673931
Total Return of Fund : ,1.09648
Total Return of $SPX : ,0.779305674563
Standard Deviation of Fund : ,0.0060854156452
Standard Deviation of $SPX : ,0.022004631521
Average Daily Return of Fund : ,0.000202354576186
Average Daily Return of $SPX : ,-0.000255334653467
