Details of the Performance of the Portfolio : ,out/UnderThreshold_8.0_$_event_on_sp5002012_perfom_summary.csv
Date Range : ,2008-01-17 16:00:00 to 2009-12-22 16:00:00
Transactions : ,760
Sharpe Ratio of Fund : ,1.02070365377 
Sharpe Ratio of $SPX : ,-0.0824636997073
Total Return of Fund : ,1.30294
Total Return of $SPX : ,0.838567410463
Standard Deviation of Fund : ,0.00906731413011
Standard Deviation of $SPX : ,0.0221570940927
Average Daily Return of Fund : ,0.000583012761115
Average Daily Return of $SPX : ,-0.000115100006188
